Time,Temperature,Weather,Wind Speed,Humidity,Pressure,Date,AQI,NO2,O3,SO2,PM10,PM25
20:30,27.0,Passing clouds.,9.0,54.0,1020.0,2024-02-05,160,115.0,8.9,19.0,170.0,63.0
20:30,27.0,Passing clouds.,9.0,54.0,1020.0,2024-02-05,160,115.0,8.9,19.0,170.0,63.0
19:30,28.0,Passing clouds.,7.0,51.0,1019.0,2024-02-05,163,77.3,43.2,20.3,81.3,65.0
19:30,28.0,Passing clouds.,7.0,51.0,1019.0,2024-02-05,163,77.3,43.2,20.3,81.3,65.0
18:30,29.0,Passing clouds.,11.0,45.0,1018.0,2024-02-05,153,17.0,15.0,16.0,72.0,55.0
18:30,29.0,Passing clouds.,11.0,45.0,1018.0,2024-02-05,153,17.0,15.0,16.0,72.0,55.0
17:30,31.0,Scattered clouds.,11.0,40.0,1017.0,2024-02-05,137,2.0,112.0,23.0,61.3,49.0
17:30,31.0,Scattered clouds.,11.0,40.0,1017.0,2024-02-05,137,2.0,112.0,23.0,61.3,49.0
10:30,31.0,Haze.,6.0,40.0,1021.0,2024-02-07,207,109.7,29.8,22.0,122.9,98.33
11:30,33.0,Haze.,7.0,32.0,1021.0,2024-02-07,195,161.0,19.1,21.0,111.3,89.0
12:30,32.0,Scattered clouds.,4.0,33.0,1020.0,2024-02-07,163,161.0,19.1,74.0,81.3,65.0
13:30,33.0,Scattered clouds.,7.0,32.0,1018.0,2024-02-07,163,161.0,19.1,74.0,81.3,65.0
14:30,34.0,Scattered clouds.,4.0,26.0,1017.0,2024-02-07,139,95.0,8.4,78.0,62.5,50.0
15:30,35.0,Scattered clouds.,6.0,25.0,1016.0,2024-02-07,145,64.3,42.0,57.7,65.0,52.0
16:30,34.0,Scattered clouds.,6.0,26.0,1016.0,2024-02-07,143,33.7,75.5,37.3,64.2,51.33
17:30,33.0,Scattered clouds.,6.0,28.0,1016.0,2024-02-07,145,3.0,109.0,17.0,65.0,52.0
18:30,31.0,Scattered clouds.,11.0,38.0,1017.0,2024-02-07,142,18.7,77.6,36.3,63.8,51.0
19:30,30.0,Passing clouds.,11.0,43.0,1017.0,2024-02-07,184,50.0,14.7,75.0,180.0,81.0
20:30,29.0,Passing clouds.,9.0,48.0,1018.0,2024-02-07,184,50.0,14.7,75.0,180.0,81.0
21:30,28.0,Passing clouds.,11.0,51.0,1019.0,2024-02-07,184,50.0,14.7,75.0,180.0,81.0
